run_id,model,condition,level,layer,metric,value
2026-08-10T01:06:25Z-a6db,statistical-tfidf-cvalue,B1,M1,classes,precision,0.25
2026-08-10T01:06:25Z-a6db,statistical-tfidf-cvalue,B1,M1,classes,recall,0.45454545454545453
2026-08-10T01:06:25Z-a6db,statistical-tfidf-cvalue,B1,M1,classes,f1,0.3225806451612903
2026-08-10T01:06:25Z-a6db,statistical-tfidf-cvalue,B1,M1,classes,tp,5
2026-08-10T01:06:25Z-a6db,statistical-tfidf-cvalue,B1,M1,classes,fp,15
2026-08-10T01:06:25Z-a6db,statistical-tfidf-cvalue,B1,M1,classes,fn,6
2026-08-10T01:06:25Z-a6db,statistical-tfidf-cvalue,B1,M1,taxonomy,precision,0.0
2026-08-10T01:06:25Z-a6db,statistical-tfidf-cvalue,B1,M1,taxonomy,recall,0.0
2026-08-10T01:06:25Z-a6db,statistical-tfidf-cvalue,B1,M1,taxonomy,f1,0.0
2026-08-10T01:06:25Z-a6db,statistical-tfidf-cvalue,B1,M1,taxonomy,tp,0
2026-08-10T01:06:25Z-a6db,statistical-tfidf-cvalue,B1,M1,taxonomy,fp,0
2026-08-10T01:06:25Z-a6db,statistical-tfidf-cvalue,B1,M1,taxonomy,fn,7
2026-08-10T01:06:25Z-a6db,statistical-tfidf-cvalue,B1,M1,attributes_effective_micro,precision,0.058823529411764705
2026-08-10T01:06:25Z-a6db,statistical-tfidf-cvalue,B1,M1,attributes_effective_micro,recall,0.022727272727272728
2026-08-10T01:06:25Z-a6db,statistical-tfidf-cvalue,B1,M1,attributes_effective_micro,f1,0.03278688524590164
2026-08-10T01:06:25Z-a6db,statistical-tfidf-cvalue,B1,M1,attributes_effective_micro,tp,1
2026-08-10T01:06:25Z-a6db,statistical-tfidf-cvalue,B1,M1,attributes_effective_micro,fp,16
2026-08-10T01:06:25Z-a6db,statistical-tfidf-cvalue,B1,M1,attributes_effective_micro,fn,43
2026-08-10T01:06:25Z-a6db,statistical-tfidf-cvalue,B1,M1,attributes_effective_macro,precision,
2026-08-10T01:06:25Z-a6db,statistical-tfidf-cvalue,B1,M1,attributes_effective_macro,recall,
2026-08-10T01:06:25Z-a6db,statistical-tfidf-cvalue,B1,M1,attributes_effective_macro,f1,0.03636363636363637
2026-08-10T01:06:25Z-a6db,statistical-tfidf-cvalue,B1,M1,attributes_effective_macro,tp,1
2026-08-10T01:06:25Z-a6db,statistical-tfidf-cvalue,B1,M1,attributes_effective_macro,fp,16
2026-08-10T01:06:25Z-a6db,statistical-tfidf-cvalue,B1,M1,attributes_effective_macro,fn,43
2026-08-10T01:06:25Z-a6db,statistical-tfidf-cvalue,B1,M1,attributes_declared_micro,precision,0.058823529411764705
2026-08-10T01:06:25Z-a6db,statistical-tfidf-cvalue,B1,M1,attributes_declared_micro,recall,0.03333333333333333
2026-08-10T01:06:25Z-a6db,statistical-tfidf-cvalue,B1,M1,attributes_declared_micro,f1,0.0425531914893617
2026-08-10T01:06:25Z-a6db,statistical-tfidf-cvalue,B1,M1,attributes_declared_micro,tp,1
2026-08-10T01:06:25Z-a6db,statistical-tfidf-cvalue,B1,M1,attributes_declared_micro,fp,16
2026-08-10T01:06:25Z-a6db,statistical-tfidf-cvalue,B1,M1,attributes_declared_micro,fn,29
2026-08-10T01:06:25Z-a6db,statistical-tfidf-cvalue,B1,M1,attributes_declared_macro,precision,
2026-08-10T01:06:25Z-a6db,statistical-tfidf-cvalue,B1,M1,attributes_declared_macro,recall,
2026-08-10T01:06:25Z-a6db,statistical-tfidf-cvalue,B1,M1,attributes_declared_macro,f1,0.03636363636363637
2026-08-10T01:06:25Z-a6db,statistical-tfidf-cvalue,B1,M1,attributes_declared_macro,tp,1
2026-08-10T01:06:25Z-a6db,statistical-tfidf-cvalue,B1,M1,attributes_declared_macro,fp,16
2026-08-10T01:06:25Z-a6db,statistical-tfidf-cvalue,B1,M1,attributes_declared_macro,fn,29
2026-08-10T01:06:25Z-a6db,statistical-tfidf-cvalue,B1,M1,relations,precision,0.0
2026-08-10T01:06:25Z-a6db,statistical-tfidf-cvalue,B1,M1,relations,recall,0.0
2026-08-10T01:06:25Z-a6db,statistical-tfidf-cvalue,B1,M1,relations,f1,0.0
2026-08-10T01:06:25Z-a6db,statistical-tfidf-cvalue,B1,M1,relations,tp,0
2026-08-10T01:06:25Z-a6db,statistical-tfidf-cvalue,B1,M1,relations,fp,10
2026-08-10T01:06:25Z-a6db,statistical-tfidf-cvalue,B1,M1,relations,fn,15
2026-08-10T01:06:25Z-a6db,statistical-tfidf-cvalue,B1,M2,classes,precision,0.25
2026-08-10T01:06:25Z-a6db,statistical-tfidf-cvalue,B1,M2,classes,recall,0.45454545454545453
2026-08-10T01:06:25Z-a6db,statistical-tfidf-cvalue,B1,M2,classes,f1,0.3225806451612903
2026-08-10T01:06:25Z-a6db,statistical-tfidf-cvalue,B1,M2,classes,tp,5
2026-08-10T01:06:25Z-a6db,statistical-tfidf-cvalue,B1,M2,classes,fp,15
2026-08-10T01:06:25Z-a6db,statistical-tfidf-cvalue,B1,M2,classes,fn,6
2026-08-10T01:06:25Z-a6db,statistical-tfidf-cvalue,B1,M2,taxonomy,precision,0.0
2026-08-10T01:06:25Z-a6db,statistical-tfidf-cvalue,B1,M2,taxonomy,recall,0.0
