run_id,model,condition,level,layer,metric,value
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M1,classes,precision,0.1044776119402985
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M1,classes,recall,0.6363636363636364
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M1,classes,f1,0.17948717948717952
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M1,classes,tp,7
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M1,classes,fp,60
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M1,classes,fn,4
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M1,taxonomy,precision,0.05263157894736842
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M1,taxonomy,recall,0.14285714285714285
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M1,taxonomy,f1,0.07692307692307693
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M1,taxonomy,tp,1
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M1,taxonomy,fp,18
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M1,taxonomy,fn,6
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M1,attributes_effective_micro,precision,0.055248618784530384
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M1,attributes_effective_micro,recall,0.22727272727272727
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M1,attributes_effective_micro,f1,0.08888888888888889
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M1,attributes_effective_micro,tp,10
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M1,attributes_effective_micro,fp,171
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M1,attributes_effective_micro,fn,34
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M1,attributes_effective_macro,precision,
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M1,attributes_effective_macro,recall,
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M1,attributes_effective_macro,f1,0.0959873493653165
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M1,attributes_effective_macro,tp,10
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M1,attributes_effective_macro,fp,171
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M1,attributes_effective_macro,fn,34
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M1,attributes_declared_micro,precision,0.02531645569620253
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M1,attributes_declared_micro,recall,0.13333333333333333
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M1,attributes_declared_micro,f1,0.0425531914893617
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M1,attributes_declared_micro,tp,4
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M1,attributes_declared_micro,fp,154
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M1,attributes_declared_micro,fn,26
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M1,attributes_declared_macro,precision,
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M1,attributes_declared_macro,recall,
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M1,attributes_declared_macro,f1,0.016384872988646573
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M1,attributes_declared_macro,tp,4
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M1,attributes_declared_macro,fp,154
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M1,attributes_declared_macro,fn,26
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M1,relations,precision,0.0
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M1,relations,recall,0.0
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M1,relations,f1,0.0
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M1,relations,tp,0
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M1,relations,fp,206
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M1,relations,fn,15
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M2,classes,precision,0.11940298507462686
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M2,classes,recall,0.7272727272727273
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M2,classes,f1,0.20512820512820515
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M2,classes,tp,8
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M2,classes,fp,59
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M2,classes,fn,3
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M2,taxonomy,precision,0.0
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M2,taxonomy,recall,0.0
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M2,taxonomy,f1,0.0
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M2,taxonomy,tp,0
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M2,taxonomy,fp,19
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M2,taxonomy,fn,7
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M2,attributes_effective_micro,precision,0.043478260869565216
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M2,attributes_effective_micro,recall,0.22727272727272727
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M2,attributes_effective_micro,f1,0.07299270072992702
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M2,attributes_effective_micro,tp,10
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M2,attributes_effective_micro,fp,220
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M2,attributes_effective_micro,fn,34
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M2,attributes_effective_macro,precision,
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M2,attributes_effective_macro,recall,
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M2,attributes_effective_macro,f1,0.05398490736287449
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M2,attributes_effective_macro,tp,10
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M2,attributes_effective_macro,fp,220
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M2,attributes_effective_macro,fn,34
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M2,attributes_declared_micro,precision,0.021052631578947368
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M2,attributes_declared_micro,recall,0.13333333333333333
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M2,attributes_declared_micro,f1,0.03636363636363636
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M2,attributes_declared_micro,tp,4
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M2,attributes_declared_micro,fp,186
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M2,attributes_declared_micro,fn,26
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M2,attributes_declared_macro,precision,
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M2,attributes_declared_macro,recall,
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M2,attributes_declared_macro,f1,0.026420292114974788
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M2,attributes_declared_macro,tp,4
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M2,attributes_declared_macro,fp,186
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M2,attributes_declared_macro,fn,26
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M2,relations,precision,0.014563106796116505
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M2,relations,recall,0.2
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M2,relations,f1,0.027149321266968326
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M2,relations,tp,3
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M2,relations,fp,203
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M2,relations,fn,12
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M3,classes,precision,0.13432835820895522
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M3,classes,recall,0.8181818181818182
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M3,classes,f1,0.23076923076923075
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M3,classes,tp,9
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M3,classes,fp,58
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M3,classes,fn,2
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M3,taxonomy,precision,0.05263157894736842
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M3,taxonomy,recall,0.14285714285714285
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M3,taxonomy,f1,0.07692307692307693
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M3,taxonomy,tp,1
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M3,taxonomy,fp,18
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M3,taxonomy,fn,6
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M3,attributes_effective_micro,precision,0.10891089108910891
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M3,attributes_effective_micro,recall,0.5
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M3,attributes_effective_micro,f1,0.17886178861788618
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M3,attributes_effective_micro,tp,22
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M3,attributes_effective_micro,fp,180
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M3,attributes_effective_micro,fn,22
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M3,attributes_effective_macro,precision,
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M3,attributes_effective_macro,recall,
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M3,attributes_effective_macro,f1,0.19021480629729529
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M3,attributes_effective_macro,tp,22
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M3,attributes_effective_macro,fp,180
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M3,attributes_effective_macro,fn,22
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M3,attributes_declared_micro,precision,0.0670391061452514
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M3,attributes_declared_micro,recall,0.4
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M3,attributes_declared_micro,f1,0.11483253588516747
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M3,attributes_declared_micro,tp,12
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M3,attributes_declared_micro,fp,167
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M3,attributes_declared_micro,fn,18
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M3,attributes_declared_macro,precision,
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M3,attributes_declared_macro,recall,
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M3,attributes_declared_macro,f1,0.08486337931398975
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M3,attributes_declared_macro,tp,12
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M3,attributes_declared_macro,fp,167
2026-08-12T17:53:58Z-83cb,llama-3.1-8b-instant,B3,M3,attributes_declared_macro,fn,18
