run_id,model,condition,level,layer,metric,value
2026-08-19T20:38:13Z-4776,claude-opus-5,B3,M1,classes,precision,0.6
2026-08-19T20:38:13Z-4776,claude-opus-5,B3,M1,classes,recall,0.5454545454545454
2026-08-19T20:38:13Z-4776,claude-opus-5,B3,M1,classes,f1,0.5714285714285713
2026-08-19T20:38:13Z-4776,claude-opus-5,B3,M1,classes,tp,6
2026-08-19T20:38:13Z-4776,claude-opus-5,B3,M1,classes,fp,4
2026-08-19T20:38:13Z-4776,claude-opus-5,B3,M1,classes,fn,5
2026-08-19T20:38:13Z-4776,claude-opus-5,B3,M1,taxonomy,precision,0.0
2026-08-19T20:38:13Z-4776,claude-opus-5,B3,M1,taxonomy,recall,0.0
2026-08-19T20:38:13Z-4776,claude-opus-5,B3,M1,taxonomy,f1,0.0
2026-08-19T20:38:13Z-4776,claude-opus-5,B3,M1,taxonomy,tp,0
2026-08-19T20:38:13Z-4776,claude-opus-5,B3,M1,taxonomy,fp,3
2026-08-19T20:38:13Z-4776,claude-opus-5,B3,M1,taxonomy,fn,7
2026-08-19T20:38:13Z-4776,claude-opus-5,B3,M1,attributes_effective_micro,precision,0.0
2026-08-19T20:38:13Z-4776,claude-opus-5,B3,M1,attributes_effective_micro,recall,0.0
2026-08-19T20:38:13Z-4776,claude-opus-5,B3,M1,attributes_effective_micro,f1,0.0
2026-08-19T20:38:13Z-4776,claude-opus-5,B3,M1,attributes_effective_micro,tp,0
2026-08-19T20:38:13Z-4776,claude-opus-5,B3,M1,attributes_effective_micro,fp,75
2026-08-19T20:38:13Z-4776,claude-opus-5,B3,M1,attributes_effective_micro,fn,44
2026-08-19T20:38:13Z-4776,claude-opus-5,B3,M1,attributes_effective_macro,precision,
2026-08-19T20:38:13Z-4776,claude-opus-5,B3,M1,attributes_effective_macro,recall,
2026-08-19T20:38:13Z-4776,claude-opus-5,B3,M1,attributes_effective_macro,f1,0.0
2026-08-19T20:38:13Z-4776,claude-opus-5,B3,M1,attributes_effective_macro,tp,0
2026-08-19T20:38:13Z-4776,claude-opus-5,B3,M1,attributes_effective_macro,fp,75
2026-08-19T20:38:13Z-4776,claude-opus-5,B3,M1,attributes_effective_macro,fn,44
2026-08-19T20:38:13Z-4776,claude-opus-5,B3,M1,attributes_declared_micro,precision,0.0
2026-08-19T20:38:13Z-4776,claude-opus-5,B3,M1,attributes_declared_micro,recall,0.0
2026-08-19T20:38:13Z-4776,claude-opus-5,B3,M1,attributes_declared_micro,f1,0.0
2026-08-19T20:38:13Z-4776,claude-opus-5,B3,M1,attributes_declared_micro,tp,0
2026-08-19T20:38:13Z-4776,claude-opus-5,B3,M1,attributes_declared_micro,fp,75
2026-08-19T20:38:13Z-4776,claude-opus-5,B3,M1,attributes_declared_micro,fn,30
2026-08-19T20:38:13Z-4776,claude-opus-5,B3,M1,attributes_declared_macro,precision,
2026-08-19T20:38:13Z-4776,claude-opus-5,B3,M1,attributes_declared_macro,recall,
2026-08-19T20:38:13Z-4776,claude-opus-5,B3,M1,attributes_declared_macro,f1,0.0
2026-08-19T20:38:13Z-4776,claude-opus-5,B3,M1,attributes_declared_macro,tp,0
2026-08-19T20:38:13Z-4776,claude-opus-5,B3,M1,attributes_declared_macro,fp,75
2026-08-19T20:38:13Z-4776,claude-opus-5,B3,M1,attributes_declared_macro,fn,30
2026-08-19T20:38:13Z-4776,claude-opus-5,B3,M1,relations,precision,0.0625
2026-08-19T20:38:13Z-4776,claude-opus-5,B3,M1,relations,recall,0.06666666666666667
2026-08-19T20:38:13Z-4776,claude-opus-5,B3,M1,relations,f1,0.06451612903225808
2026-08-19T20:38:13Z-4776,claude-opus-5,B3,M1,relations,tp,1
2026-08-19T20:38:13Z-4776,claude-opus-5,B3,M1,relations,fp,15
2026-08-19T20:38:13Z-4776,claude-opus-5,B3,M1,relations,fn,14
2026-08-19T20:38:13Z-4776,claude-opus-5,B3,M2,classes,precision,0.7
2026-08-19T20:38:13Z-4776,claude-opus-5,B3,M2,classes,recall,0.6363636363636364
2026-08-19T20:38:13Z-4776,claude-opus-5,B3,M2,classes,f1,0.6666666666666666
2026-08-19T20:38:13Z-4776,claude-opus-5,B3,M2,classes,tp,7
2026-08-19T20:38:13Z-4776,claude-opus-5,B3,M2,classes,fp,3
2026-08-19T20:38:13Z-4776,claude-opus-5,B3,M2,classes,fn,4
