run_id,model,condition,level,layer,metric,value
2026-08-21T21:50:44Z-484f,us.anthropic.claude-haiku-4-5-20251001-v1:0,P1,M2,classes,precision,0.056451612903225805
2026-08-21T21:50:44Z-484f,us.anthropic.claude-haiku-4-5-20251001-v1:0,P1,M2,classes,recall,0.6363636363636364
2026-08-21T21:50:44Z-484f,us.anthropic.claude-haiku-4-5-20251001-v1:0,P1,M2,classes,f1,0.1037037037037037
2026-08-21T21:50:44Z-484f,us.anthropic.claude-haiku-4-5-20251001-v1:0,P1,M2,classes,tp,7
2026-08-21T21:50:44Z-484f,us.anthropic.claude-haiku-4-5-20251001-v1:0,P1,M2,classes,fp,117
2026-08-21T21:50:44Z-484f,us.anthropic.claude-haiku-4-5-20251001-v1:0,P1,M2,classes,fn,4
2026-08-21T21:50:44Z-484f,us.anthropic.claude-haiku-4-5-20251001-v1:0,P1,M2,taxonomy,precision,0.0
2026-08-21T21:50:44Z-484f,us.anthropic.claude-haiku-4-5-20251001-v1:0,P1,M2,taxonomy,recall,0.0
2026-08-21T21:50:44Z-484f,us.anthropic.claude-haiku-4-5-20251001-v1:0,P1,M2,taxonomy,f1,0.0
2026-08-21T21:50:44Z-484f,us.anthropic.claude-haiku-4-5-20251001-v1:0,P1,M2,taxonomy,tp,0
2026-08-21T21:50:44Z-484f,us.anthropic.claude-haiku-4-5-20251001-v1:0,P1,M2,taxonomy,fp,82
2026-08-21T21:50:44Z-484f,us.anthropic.claude-haiku-4-5-20251001-v1:0,P1,M2,taxonomy,fn,7
2026-08-21T21:50:44Z-484f,us.anthropic.claude-haiku-4-5-20251001-v1:0,P1,M2,attributes_effective_micro,precision,0.05223880597014925
2026-08-21T21:50:44Z-484f,us.anthropic.claude-haiku-4-5-20251001-v1:0,P1,M2,attributes_effective_micro,recall,0.1590909090909091
2026-08-21T21:50:44Z-484f,us.anthropic.claude-haiku-4-5-20251001-v1:0,P1,M2,attributes_effective_micro,f1,0.07865168539325842
2026-08-21T21:50:44Z-484f,us.anthropic.claude-haiku-4-5-20251001-v1:0,P1,M2,attributes_effective_micro,tp,7
2026-08-21T21:50:44Z-484f,us.anthropic.claude-haiku-4-5-20251001-v1:0,P1,M2,attributes_effective_micro,fp,127
2026-08-21T21:50:44Z-484f,us.anthropic.claude-haiku-4-5-20251001-v1:0,P1,M2,attributes_effective_micro,fn,37
2026-08-21T21:50:44Z-484f,us.anthropic.claude-haiku-4-5-20251001-v1:0,P1,M2,attributes_effective_macro,precision,
2026-08-21T21:50:44Z-484f,us.anthropic.claude-haiku-4-5-20251001-v1:0,P1,M2,attributes_effective_macro,recall,
2026-08-21T21:50:44Z-484f,us.anthropic.claude-haiku-4-5-20251001-v1:0,P1,M2,attributes_effective_macro,f1,0.045001665001665
2026-08-21T21:50:44Z-484f,us.anthropic.claude-haiku-4-5-20251001-v1:0,P1,M2,attributes_effective_macro,tp,7
2026-08-21T21:50:44Z-484f,us.anthropic.claude-haiku-4-5-20251001-v1:0,P1,M2,attributes_effective_macro,fp,127
2026-08-21T21:50:44Z-484f,us.anthropic.claude-haiku-4-5-20251001-v1:0,P1,M2,attributes_effective_macro,fn,37
2026-08-21T21:50:44Z-484f,us.anthropic.claude-haiku-4-5-20251001-v1:0,P1,M2,attributes_declared_micro,precision,0.029850746268656716
2026-08-21T21:50:44Z-484f,us.anthropic.claude-haiku-4-5-20251001-v1:0,P1,M2,attributes_declared_micro,recall,0.13333333333333333
2026-08-21T21:50:44Z-484f,us.anthropic.claude-haiku-4-5-20251001-v1:0,P1,M2,attributes_declared_micro,f1,0.048780487804878044
2026-08-21T21:50:44Z-484f,us.anthropic.claude-haiku-4-5-20251001-v1:0,P1,M2,attributes_declared_micro,tp,4
2026-08-21T21:50:44Z-484f,us.anthropic.claude-haiku-4-5-20251001-v1:0,P1,M2,attributes_declared_micro,fp,130
2026-08-21T21:50:44Z-484f,us.anthropic.claude-haiku-4-5-20251001-v1:0,P1,M2,attributes_declared_micro,fn,26
2026-08-21T21:50:44Z-484f,us.anthropic.claude-haiku-4-5-20251001-v1:0,P1,M2,attributes_declared_macro,precision,
2026-08-21T21:50:44Z-484f,us.anthropic.claude-haiku-4-5-20251001-v1:0,P1,M2,attributes_declared_macro,recall,
2026-08-21T21:50:44Z-484f,us.anthropic.claude-haiku-4-5-20251001-v1:0,P1,M2,attributes_declared_macro,f1,0.019050423260949575
2026-08-21T21:50:44Z-484f,us.anthropic.claude-haiku-4-5-20251001-v1:0,P1,M2,attributes_declared_macro,tp,4
2026-08-21T21:50:44Z-484f,us.anthropic.claude-haiku-4-5-20251001-v1:0,P1,M2,attributes_declared_macro,fp,130
2026-08-21T21:50:44Z-484f,us.anthropic.claude-haiku-4-5-20251001-v1:0,P1,M2,attributes_declared_macro,fn,26
2026-08-21T21:50:44Z-484f,us.anthropic.claude-haiku-4-5-20251001-v1:0,P1,M2,relations,precision,0.0024271844660194173
2026-08-21T21:50:44Z-484f,us.anthropic.claude-haiku-4-5-20251001-v1:0,P1,M2,relations,recall,0.06666666666666667
2026-08-21T21:50:44Z-484f,us.anthropic.claude-haiku-4-5-20251001-v1:0,P1,M2,relations,f1,0.004683840749414519
2026-08-21T21:50:44Z-484f,us.anthropic.claude-haiku-4-5-20251001-v1:0,P1,M2,relations,tp,1
2026-08-21T21:50:44Z-484f,us.anthropic.claude-haiku-4-5-20251001-v1:0,P1,M2,relations,fp,411
2026-08-21T21:50:44Z-484f,us.anthropic.claude-haiku-4-5-20251001-v1:0,P1,M2,relations,fn,14
